horizon,fold_id,train_loss,val_loss,f1,precision,recall,fpr,roc_auc,pr_auc,tp,fp,tn,fn
5,4,0.1093712965411415,0.7403203646341959,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,5,0.09636068394000538,0.7488481629569576,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,4
5,6,0.10434019784779999,0.6909698813533963,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,4
5,7,0.12868684845021064,0.7016786305350031,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,3
5,8,0.08422836482876415,0.730458866712943,0.0,0.0,0.0,0.0,1.0,0.9999999999999998,0,0,7,7
5,9,0.11873601325429403,0.6414395010832584,0.8888888888888888,1.0,0.8,0.0,1.0,1.0,4,0,5,1
5,10,0.1225907636088366,0.8180462452488333,0.0,0.0,0.0,0.0,0.5277777777777777,0.6194805194805194,0,0,6,6
5,11,0.1430370689772848,0.8979824507677997,1.0,1.0,1.0,0.0,1.0,1.0,4,0,5,0
5,12,0.1205953767013907,0.88836180830801,1.0,1.0,1.0,0.0,1.0,0.9999999999999999,10,0,10,0
5,13,0.10041698511642745,0.7827866977032233,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,14,0.1387070443640587,0.820556192754585,1.0,1.0,1.0,0.0,1.0,1.0,8,0,8,0
5,15,0.140285509480555,0.8589990865019032,1.0,1.0,1.0,0.0,1.0,1.0,12,0,12,0
5,16,0.14688286727786123,0.8541890336739971,1.0,1.0,1.0,0.0,1.0,1.0,33,0,33,0
5,17,0.15288022611348015,0.8829486325935081,0.8,0.6666666666666666,1.0,0.5,1.0,1.0,6,3,3,0
5,18,0.13825765565233428,0.8774674930325718,0.875,0.7777777777777778,1.0,0.2857142857142857,1.0,0.9999999999999998,7,2,5,0
5,19,0.11994496526009026,0.7661017514420966,0.0,0.0,0.0,0.0,0.6666666666666667,0.7999999999999999,0,0,6,6
5,20,0.12487313279781743,0.823529382913315,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,21,0.12986737293228331,0.8685706471165168,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,22,0.11617328922070161,0.8427215911365523,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,23,0.10117477767989563,0.9206378992193299,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,24,0.14844542979775324,0.8637061308230861,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,25,0.13561947233713204,0.7143542317886634,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,26,0.11894364771923918,0.892345624656255,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,27,0.14757520362420717,0.6952712311515948,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,28,0.11111642042702757,0.9769194464841892,0.0,0.0,0.0,0.16666666666666666,,,0,1,5,0
5,29,0.11071174004632081,0.777963707807759,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,30,0.09649725644314876,0.9322367251139285,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,2
5,31,0.11885553899916888,0.847596677466952,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,32,0.1389030648966863,0.8927922253239199,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,33,0.14323072842468423,0.9128290159675908,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,34,0.1092800456620491,0.7400137401594887,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,35,0.12694573642498436,0.7707243968639866,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,36,0.11369896778527133,0.8922476940049456,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
