task,attack_type,is_multi_episode,fold,held_out_ep,held_out_day,test_attack_windows,test_benign_windows,test_total,excluded_windows,train_total,a_f1,a_prec,a_rec,a_prauc,b_f1,b_prec,b_rec,b_prauc
forecasting,DDOS-LOIC-UDP,True,11,21-02-2018_DDOS-LOIC-UDP_1,21-02-2018,1,10,8,3,2776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forecasting,DDOS-LOIC-UDP,True,12,21-02-2018_DDOS-LOIC-UDP_2,21-02-2018,1,10,9,2,2776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forecasting,DDOS-LOIC-UDP,True,13,21-02-2018_DDOS-LOIC-UDP_3,21-02-2018,2,10,8,4,2775,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
forecasting,DDOS-LOIC-UDP,True,14,21-02-2018_DDOS-LOIC-UDP_4,21-02-2018,1,10,10,1,2776,0.0,0.0,0.0,0.2777777777777778,0.6666666666666666,0.5,1.0,0.5
forecasting,DDOS-LOIC-UDP,True,15,21-02-2018_DDOS-LOIC-UDP_5,21-02-2018,1,10,7,4,2776,0.0,0.0,0.0,0.1428571428571428,0.6666666666666666,0.5,1.0,1.0
forecasting,DDOS-LOIC-UDP,True,16,21-02-2018_DDOS-LOIC-UDP_6,21-02-2018,1,10,7,4,2776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forecasting,DDOS-LOIC-UDP,True,17,21-02-2018_DDOS-LOIC-UDP_7,21-02-2018,1,10,8,3,2776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forecasting,DDOS-LOIC-UDP,True,18,21-02-2018_DDOS-LOIC-UDP_8,21-02-2018,1,10,7,4,2776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forecasting,DDOS-LOIC-UDP,True,19,21-02-2018_DDOS-LOIC-UDP_9,21-02-2018,1,10,6,5,2776,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.25
forecasting,DDOS-LOIC-UDP,True,20,21-02-2018_DDOS-LOIC-UDP_10,21-02-2018,1,10,7,4,2776,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.3333333333333333
forecasting,DDOS-LOIC-UDP,True,21,21-02-2018_DDOS-LOIC-UDP_11,21-02-2018,1,10,9,2,2776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forecasting,DDOS-LOIC-UDP,True,22,21-02-2018_DDOS-LOIC-UDP_12,21-02-2018,1,10,5,6,2776,0.0,0.0,0.0,0.2,0.6666666666666666,0.5,1.0,0.5
forecasting,DDOS-LOIC-UDP,True,23,21-02-2018_DDOS-LOIC-UDP_13,21-02-2018,1,10,8,3,2776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forecasting,DDOS-LOIC-UDP,True,24,21-02-2018_DDOS-LOIC-UDP_14,21-02-2018,1,10,6,5,2776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forecasting,DDOS-LOIC-UDP,True,25,21-02-2018_DDOS-LOIC-UDP_15,21-02-2018,1,10,9,2,2776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forecasting,DDOS-LOIC-UDP,True,26,21-02-2018_DDOS-LOIC-UDP_16,21-02-2018,1,10,7,4,2776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forecasting,DDOS-LOIC-UDP,True,27,21-02-2018_DDOS-LOIC-UDP_17,21-02-2018,1,10,9,2,2776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forecasting,Botnet,True,30,02-03-2018_Botnet_0,02-03-2018,10,10,8,12,2767,0.5,0.3333333333333333,1.0,0.5,0.0,0.0,0.0,1.0
forecasting,Botnet,True,31,02-03-2018_Botnet_1,02-03-2018,12,13,9,16,2762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forecasting,Botnet,True,32,02-03-2018_Botnet_2,02-03-2018,6,10,15,1,2771,0.6666666666666666,0.75,0.6,0.7766666666666666,0.8333333333333334,0.7142857142857143,1.0,1.0
forecasting,Botnet,True,33,02-03-2018_Botnet_3,02-03-2018,1,10,6,5,2776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forecasting,Botnet,True,34,02-03-2018_Botnet_4,02-03-2018,1,10,7,4,2776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forecasting,Botnet,True,35,02-03-2018_Botnet_5,02-03-2018,4,10,8,6,2773,0.0,0.0,0.0,1.0,0.5,0.3333333333333333,1.0,1.0
forecasting,Botnet,True,36,02-03-2018_Botnet_6,02-03-2018,4,10,9,5,2773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forecasting,Botnet,True,37,02-03-2018_Botnet_7,02-03-2018,3,10,10,3,2774,0.0,0.0,0.0,0.1,0.6666666666666666,0.5,1.0,1.0
forecasting,Botnet,True,38,02-03-2018_Botnet_8,02-03-2018,7,10,8,9,2770,0.0,0.0,0.0,0.25,0.4,0.3333333333333333,0.5,0.3666666666666667
forecasting,Botnet,True,39,02-03-2018_Botnet_9,02-03-2018,5,10,7,8,2772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
