target,fold_id,feature,coefficient,absolute_coefficient
detection,17,fwd_iat_tot_max,0.045068941048749,0.045068941048749
detection,17,bwd_header_len_mean,-0.0448719586832557,0.0448719586832557
detection,17,pkt_len_var_min,0.0445157219848318,0.0445157219848318
detection,17,bwd_pkt_len_std_min,0.043129956226502,0.043129956226502
detection,17,rst_flag_cnt_mean,-0.0425328587297128,0.0425328587297128
detection,17,idle_min_max,-0.0400730264085288,0.0400730264085288
detection,17,idle_std_sum,0.0397236787077605,0.0397236787077605
detection,17,fwd_pkt_len_max_min,-0.0394466770095255,0.0394466770095255
detection,17,fwd_pkt_len_std_min,0.0381381495355726,0.0381381495355726
detection,17,window_size_bwd_min,0.0380890398177982,0.0380890398177982
detection,17,fwd_pkt_len_min_max,-0.0376251412543188,0.0376251412543188
detection,17,idle_std_min,-0.0375772603622143,0.0375772603622143
detection,17,urg_flag_cnt_sum,0.0374989659140545,0.0374989659140545
detection,17,unique_protocols_count,0.0360380811539465,0.0360380811539465
detection,17,bwd_header_len_sum,0.0359265520196869,0.0359265520196869
detection,17,bwd_pkt_len_min_max,-0.0355308436813133,0.0355308436813133
detection,17,idle_min_min,-0.035186088756331,0.035186088756331
detection,17,active_min_max,0.0327467317530287,0.0327467317530287
detection,17,fwd_pkt_len_min_min,0.0323507533452521,0.0323507533452521
detection,17,pkt_len_min_min,0.0317674359094845,0.0317674359094845
detection,17,idle_max_std,0.0315579554515347,0.0315579554515347
detection,17,pkt_payload_size_p25,-0.0304075912614576,0.0304075912614576
detection,17,byte_count_fwd_mean,-0.0301127907644089,0.0301127907644089
detection,17,bwd_iat_std_max,-0.0276480069109357,0.0276480069109357
detection,17,bwd_iat_std_min,0.0238063698876297,0.0238063698876297
detection,17,bwd_iat_tot_min,0.0236143960838051,0.0236143960838051
detection,17,pkt_len_var_std,-0.0232515991893212,0.0232515991893212
detection,17,active_std_min,0.0220196111395113,0.0220196111395113
detection,17,fin_flag_cnt_sum,0.0219907945695568,0.0219907945695568
detection,17,window_size_fwd_min,0.0219280693401098,0.0219280693401098
