rank,feature,mean_absolute_coefficient,max_absolute_coefficient,fold_count
157,fwd_pkt_len_mean_mean,0.253743530496217,0.3045635952196994,37
158,fwd_seg_size_avg_mean,0.253743530496217,0.3045635952196994,37
159,bwd_pkts_per_sec_max,0.25093235260518426,0.2893767371197374,37
160,idle_mean_mean,0.2480571788865146,0.3254385813111842,37
161,flow_iat_max_max,0.245820380138072,0.3354335473078705,37
162,flow_iat_std_mean,0.24273139128437293,0.322489459250227,37
163,packet_count_fwd_std,0.24174820450003934,0.3165185698442631,37
164,flow_iat_std_max,0.2371510420094271,0.2976526416161409,37
165,ece_flag_cnt_max,0.23646483276758345,0.3793555496047119,37
166,rst_flag_cnt_max,0.23646483276758345,0.3793555496047119,37
167,bwd_pkt_len_max_sum,0.23283429929355248,0.3883090324255492,37
168,active_max_mean,0.23203123003843926,0.2724461208889331,37
169,subflow_fwd_pkts_std,0.23174804107342709,0.3343176477160598,37
170,bytes_per_sec_std,0.22369660740081418,0.3781913142479408,37
171,byte_count_fwd_sum,0.22328886356221572,0.3027100547277018,37
172,active_std_std,0.22259349049279295,0.271278159930378,37
173,bwd_iat_std_sum,0.22217840401440575,0.4052643297426441,37
174,fwd_pkt_len_std_max,0.21807956232908832,0.3022710242458813,37
175,subflow_bwd_pkts_sum,0.20834251292822106,0.2782334898332551,37
176,flow_iat_max_sum,0.20288558798105413,0.2762576728919723,37
177,bwd_pkt_len_min_sum,0.20018349035967345,0.3257170653490389,37
178,fwd_header_len_std,0.19900874789733028,0.3326160032662572,37
179,packets_per_sec_min,0.19237642075058786,0.2502788928788068,37
180,fwd_iat_max_std,0.19143735401817794,0.4290892607616732,37
181,packet_count_fwd_sum,0.1895457610531129,0.368875714004437,37
182,bwd_iat_max_sum,0.18824534319158479,0.374327005190689,37
183,subflow_bwd_byts_mean,0.18760088130774827,0.5520801000989383,37
184,window_size_fwd_max,0.18690325615075815,0.2364219323163509,37
185,cwe_flag_cnt_mean,0.18672073819313548,0.2050156604322545,37
186,fwd_urg_flags_mean,0.18672073819313548,0.2050156604322545,37
187,fwd_pkts_per_sec_std,0.18653983878270933,0.5828312465614136,37
188,bwd_iat_max_mean,0.18168350115165277,0.3704063496219723,37
189,idle_max_max,0.17988092521371285,0.2394630388471224,37
190,fwd_pkt_len_max_mean,0.17800705011151452,0.2113367064903606,37
191,window_size_fwd_sum,0.17564980817198797,0.2177249947271267,37
192,fin_flag_cnt_max,0.17530358060263926,0.2701418869012076,37
193,bwd_iat_tot_std,0.1741156552692009,0.4434086367458898,37
194,ack_flag_cnt_mean,0.1727874670213762,0.3821620515606201,37
195,active_min_sum,0.17151453149673312,0.246407508644767,37
196,fwd_seg_size_min_min,0.1713384163184005,0.2415966036598374,37
197,pkt_ttl_min,0.17122526523097883,0.1955075538136371,37
198,fwd_act_data_pkts_std,0.16816129034872443,0.3591837253927972,37
199,bwd_pkt_len_mean_std,0.16747643128738063,0.299051849398548,37
200,bwd_seg_size_avg_std,0.16747643127207246,0.2990518493940727,37
201,pkt_len_min_sum,0.16675354049189448,0.2228969473424077,37
202,idle_max_sum,0.16657938742755746,0.2057376537114885,37
203,fwd_pkt_len_min_sum,0.1664729950010633,0.253894008852566,37
204,flow_iat_mean_mean,0.1658526280438431,0.30295621799377,37
205,unique_dst_ports_count,0.1641758006500221,0.4338309028750999,37
206,fwd_pkt_len_min_mean,0.16381296220196323,0.2400351977676905,37
207,pkt_size_avg_std,0.1622251126487501,0.2834536390372026,37
208,subflow_fwd_byts_max,0.16191363307624032,0.2540014569362285,37
209,duration_sec_max,0.16178427564414766,0.2247706547053201,37
210,subflow_bwd_pkts_max,0.16159551961448912,0.3176899786361427,37
211,active_max_max,0.15973906371320723,0.2223259854472011,37
212,pkt_payload_size_p50,0.15352695656856338,0.1807771350796652,37
213,packet_count_bwd_min,0.1532266120417141,0.2237663094047887,37
214,active_mean_mean,0.15209662689763495,0.1976988959110157,37
215,fwd_iat_mean_sum,0.14910377377738213,0.2622504520061798,37
216,flow_count,0.14637697102627412,0.1794355747252324,37
217,fwd_iat_tot_sum,0.14628568343218945,0.2864820209349976,37
218,subflow_fwd_pkts_max,0.14498938892138047,0.2318672367216558,37
219,flow_iat_mean_std,0.14469290110830385,0.3068770136239823,37
220,bwd_pkt_len_mean_mean,0.14342201584250225,0.3698923193205206,37
221,bwd_seg_size_avg_mean,0.14342201583935987,0.369892319316857,37
222,bwd_header_len_mean,0.14315295141225953,0.3530243009373938,37
223,fwd_psh_flags_std,0.1399732585172662,0.1807514701841052,37
224,syn_flag_cnt_std,0.1399732585172662,0.1807514701841052,37
225,bwd_pkt_len_max_max,0.13964926697491523,0.1799345423289639,37
226,subflow_bwd_pkts_mean,0.13821351036590712,0.3681270481919551,37
227,fwd_iat_mean_mean,0.13193311136006539,0.2000680107319526,37
228,psh_flag_cnt_sum,0.13008829052415324,0.2108358790904755,37
229,cwe_flag_cnt_max,0.12689604708159066,0.2060781442835997,37
230,fwd_urg_flags_max,0.12689604708159066,0.2060781442835997,37
231,fwd_act_data_pkts_sum,0.12595080514663165,0.1879689888246586,37
232,fwd_seg_size_min_max,0.12574901985291698,0.1782924519008764,37
233,bwd_iat_tot_sum,0.120146785358529,0.1910520791290535,37
234,bwd_header_len_sum,0.1192472103852404,0.2584497755883071,37
235,psh_flag_cnt_std,0.11905705454842647,0.5869242244878942,37
236,flow_iat_min_mean,0.1149121321008214,0.3097717103685746,37
