feature,abs_coefficient
flow_iat_mean_std,0.1559737931226923
duration_sec_max,0.1553999190069827
window_size_fwd_sum,0.1540145608178702
fwd_pkt_len_min_sum,0.1520210274082299
fwd_seg_size_min_min,0.1506766225123873
subflow_fwd_byts_max,0.1455803039293486
pkt_len_std_max,0.14530338513385568
fin_flag_cnt_max,0.14327556583487866
fwd_psh_flags_std,0.14194055566123978
syn_flag_cnt_std,0.14194055566123978
unique_dst_ports_count,0.14091459654312932
duration_sec_sum,0.13664574705972984
packet_count_fwd_min,0.13587342255434925
fin_flag_cnt_std,0.13572981439754106
subflow_bwd_pkts_mean,0.1356353429607026
flow_count,0.134410177311185
idle_mean_mean,0.13421592274641564
bwd_pkt_len_max_max,0.1335159688955332
fwd_act_data_pkts_min,0.13312553299167845
idle_max_max,0.12226680174498171
bwd_iat_max_sum,0.1216906055989753
cwe_flag_cnt_max,0.12134288721239726
fwd_urg_flags_max,0.12134288721239726
active_std_std,0.12112695947698365
fwd_seg_size_min_max,0.12095313793904967
idle_max_sum,0.11969019188794347
bwd_iat_min_sum,0.1096865961254692
fwd_iat_tot_sum,0.1092588594937449
fwd_pkts_per_sec_std,0.10711469871138606
bwd_iat_tot_std,0.10252764744003934
duration_microsec_mean,0.09659151345253522
fwd_psh_flags_max,0.09601661167204299
syn_flag_cnt_max,0.09601661167204299
flow_iat_min_max,0.09504412523490086
idle_max_std,0.09396541071284352
psh_flag_cnt_sum,0.09384014200796949
idle_mean_max,0.09334583690802875
duration_microsec_min,0.09281981640744118
fwd_iat_tot_min,0.09191627399765968
fwd_psh_flags_mean,0.0890039094998423
syn_flag_cnt_mean,0.0890039094998423
subflow_bwd_pkts_max,0.08698371332295447
duration_sec_mean,0.08125409449237841
bwd_iat_min_min,0.08091162252074592
bwd_header_len_sum,0.07842729557795446
bwd_iat_tot_sum,0.0773669542760893
duration_sec_min,0.07650480312364077
fwd_iat_mean_mean,0.07590850223475609
fwd_iat_tot_mean,0.0753750189365677
idle_min_max,0.07137513860598524
subflow_fwd_byts_std,0.07093691730353544
pkt_payload_size_p25,0.06866860261452236
subflow_fwd_pkts_min,0.06767619634862873
fin_flag_cnt_mean,0.06649613696450817
duration_microsec_sum,0.06515183488090864
syn_flag_cnt_sum,0.0649383318552609
fwd_psh_flags_sum,0.0649383318552609
byte_count_fwd_mean,0.06449824904107126
fwd_iat_max_mean,0.06355701214579317
fwd_iat_max_std,0.05902383695968614
ece_flag_cnt_mean,0.0587990515679718
bwd_iat_std_max,0.05867079919533297
fwd_pkt_len_max_min,0.05531294013945442
bwd_pkt_len_mean_min,0.053666582874315666
bwd_seg_size_avg_min,0.053666582874315666
byte_count_bwd_min,0.05284302853605235
idle_min_min,0.052663188168540875
subflow_bwd_pkts_min,0.052505552216705324
bytes_per_sec_min,0.051928313269051576
fwd_iat_std_min,0.049432316103979024
pkt_len_std_min,0.04781502557480708
bwd_pkt_len_max_min,0.04732101958022258
idle_std_sum,0.04680827576588492
subflow_bwd_byts_min,0.04631604479698698
fwd_pkt_len_min_min,0.045577121818692376
pkt_len_min_min,0.04529842249829849
pkt_len_var_min,0.04517720177536682
bwd_pkt_len_std_min,0.04343720760037822
flow_iat_std_min,0.042505911181392
idle_min_sum,0.042042103809234926
bwd_iat_mean_min,0.04153744043188837
packet_count_bwd_sum,0.04141039786250358
flow_iat_mean_max,0.04077350082624983
fwd_iat_tot_max,0.03960223828997066
active_min_mean,0.039601744172386266
bwd_iat_min_mean,0.03935190854673691
window_size_bwd_min,0.03908289174683135
fwd_pkt_len_std_min,0.03858824424206455
packet_count_fwd_max,0.03524519032338498
idle_std_max,0.03462516578645954
active_mean_max,0.03437142243559505
psh_flag_cnt_std,0.0341415269749308
flow_iat_min_std,0.03315604053621214
packets_per_sec_std,0.03202675532336077
window_size_fwd_min,0.030704509342035575
bwd_header_len_mean,0.02761173247074465
idle_std_min,0.026850329425367428
bwd_iat_tot_min,0.024180865411378486
idle_mean_sum,0.023943726961063144
fwd_pkt_len_min_max,0.023914889434161427
flow_iat_min_min,0.02265207079669144
active_std_min,0.021204035536507355
bwd_iat_std_min,0.02094791596987147
pkt_len_mean_min,0.020904794343188753
subflow_fwd_byts_min,0.02068752192619642
idle_mean_min,0.020177083065307768
bwd_pkts_per_sec_min,0.019177707764642237
fwd_pkts_per_sec_min,0.019167251741425716
fin_flag_cnt_sum,0.018074792194588737
rst_flag_cnt_mean,0.016558388303639444
flow_iat_mean_min,0.015426952481420248
fwd_pkt_len_min_std,0.015321253087492076
unique_protocols_count,0.014972955386258252
fwd_header_len_min,0.014342057105721328
bwd_pkt_len_min_max,0.01427698955351763
fwd_seg_size_avg_max,0.014127521419910102
fwd_pkt_len_mean_max,0.014127521419910102
cwe_flag_cnt_sum,0.013931409524454591
fwd_urg_flags_sum,0.013931409524454591
ack_flag_cnt_min,0.013627548787210791
fwd_psh_flags_min,0.013627548787210791
syn_flag_cnt_min,0.013627548787210791
fwd_pkt_len_mean_min,0.013274502298203107
