feature,between_episode_variance,within_episode_variance
flow_iat_min_max,0.8350211657056705,0.2529074112024349
fwd_iat_tot_mean,46.994459886751045,0.885933963398973
fwd_iat_tot_std,1.2117163178041368,0.6091329879821221
fwd_iat_tot_sum,0.5175670341348538,0.2855789340437747
fwd_iat_tot_min,7.848230262621095,0.28302273726255534
fwd_iat_tot_max,347.2203296496702,209.65816523539786
fwd_iat_mean_mean,0.20905420412908532,0.16658267903183602
fwd_iat_mean_std,0.08602175828208306,0.06467864982945729
fwd_iat_mean_sum,0.18198709228860593,0.02981346324983202
fwd_iat_mean_min,0.027290853104214426,0.4816102949281161
fwd_iat_mean_max,0.6987727643495357,0.26036347221623785
fwd_iat_std_mean,7.343431567238691,2.1191473140496746
fwd_iat_std_std,0.9436236797722541,0.6118500798045501
